aruandeaasta,annual_report_id,veehaardekood,veehaardenimetus,jaamakood,jaamanimi,markused,aastakokku,jaanuar,veebruar,marts,aprill,mai,juuni,juuli,august,september,oktoober,november,detsember
2023,51752,PIH0000051,Progress Plus,,,,3709,0,0,0,200,817,1372,667,398,255,0,0,0
2023,51800,PIH0000152,Linnamäe tiik,,,,1486,0,0,0,0,0,0,0,0,0,0,0,1486
2023,51867,PIH0000155,"Esna jõgi, Paide tehisjärv",,,,12000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2023,51915,PIH0000060,Jaagumäe talu Väiso peakraav,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,51915,PIH0000210,Jaagumäe talu Väimela Alajärv,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,51915,PIH0000016,Jaagumäe talu Põrmujärv,,,,1400,0,0,0,0,0,1400,0,0,0,0,0,0
2023,51915,PIH0000211,Jaagumäe talu Oha järv,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,51915,PIH0000212,Jaagumäe talu Tinapuu järv,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,52124,PIH0000159,Hundisoo tiik,,,,6542,0,5094,0,0,443,1005,0,0,0,0,0,0
2023,52158,PIH0000006,Sillamäe Sputnik,,,veevött toimub jöest Sötke,51750,0,0,0,0,3750,14000,14500,13500,6000,0,0,0
2023,52291,PIH0000067,Kunda haavapuitmassi tehas,VHP0001367,AS Estonian Cell VPJ,,2254290,206402,161009,166491,128377,174255,172982,210478,215150,175612,219589,209852,214093
2023,52318,,,,,Ei ole asjakohane,,,,,,,,,,,,,
2023,52326,PIH0000024,Konsu,,,,7083631,585988,478581,572354,515813,548640,552500,740236,747600,638663,638663,527249,537344
2023,52377,PIH0000197,Gren Eesti AS jahutusvee pinnaveehaare,,,,410008,13003,14009,14868,27735,29772,35667,67559,70626,55091,50349,27035,4294
2023,52444,PIH0000034,Tehvandi tiigid,,,,23964,1755,5850,0,0,40,200,0,0,0,14,12377,3728
2023,52661,,,,,Mitte asjakohane,,,,,,,,,,,,,
2023,52780,,,,,Ei kasuta pinna- ja merevett.,,,,,,,,,,,,,
2023,53026,PIH0000149,Jahutusvee sissevõtu lahtine kanal,,,,193384033,32687988,29523926,16375000,15816894,30816407,22225097,12495850,12882080,0,2150391,4902832,13507568
2023,53132,PIH0000227,Altmäe lumetootmine,,,,3320,920,740,0,0,0,0,0,0,0,0,0,1660
2023,53468,PIH0000056,Nakro,,,,14970,1300,1000,1600,1400,1000,1050,1020,1200,1300,1500,1300,1300
2023,53625,PIH0000208,Räpina Paberivabrik,,,,10750,890,990,870,890,900,870,900,920,910,890,920,800
2023,53678,PIH0000048,Aravete Agro,,,,1242,0,0,0,0,421,421,133,134,133,0,0,0
